,links
47,http://web.archive.org/web/20211201101811/https://ghanaxtra.com/2021/10/shatta-wale-caged-over-fake-shooting-incident.html
48,http://web.archive.org/web/20210513163049/https://ghanaxtra.com/2021/05/captain-smart-opens-his-own-tv-station-named-smart-tv.html
49,http://web.archive.org/web/20190127074742/http://ghanaxtra.com/2019/01/greece-approves-macedonia-name-change-ending-28-year-row.html
50,http://web.archive.org/web/20180401051902/https://ghanaxtra.com/2018/03/kintampo-police-arrest-three-suspected-robbers-attacking-bank-staff.html
51,http://web.archive.org/web/20220704030357/https://ghanaxtra.com/2022/02/exclusive-supreme-court-grants-injunction-against-avokes-reinstatement.html
52,http://web.archive.org/web/20201101082755/https://ghanaxtra.com/2020/10/sad-news-berekum-arsenals-yakubu-moro-is-dead.html
53,http://web.archive.org/web/20180413043210/https://ghanaxtra.com/2018/04/ignore-prophecies-mahama-can-never-president-rev-owusu-bempah.html
54,http://web.archive.org/web/20200503085750/https://ghanaxtra.com/2020/05/kennedy-agyapong-vows-to-strip-nana-agradaa-nek3d-after-hes-done-with-obinim.html
55,http://web.archive.org/web/20190116064121/http://ghanaxtra.com/2018/12/video-captain-smart-obaapa-christy-thrill-viewers-badwam.html
56,http://web.archive.org/web/20220128222150/https://ghanaxtra.com/2022/01/i-had-brain-tumor-not-stroke-ken-agyapong-settles-sickness-rumours.html
57,http://web.archive.org/web/20220704040657/https://ghanaxtra.com/2022/03/shocking-happy-fms-showbiz-xtra-host-dr-cann-has-died.html
58,http://web.archive.org/web/20220525034713/https://ghanaxtra.com/2022/03/peter-suaka-writes-law-of-karma.html
59,http://web.archive.org/web/20190125013254/http://ghanaxtra.com/2017/07/special-prosecutors-bill-withdrawn-following-protest-from-minority.html
60,http://web.archive.org/web/20211229184821/https://ghanaxtra.com/2021/12/breaking-news-archbishop-emeritus-desmond-tutu-dies-at-age-90.html
61,http://web.archive.org/web/20190327010157/http://ghanaxtra.com/2018/03/ghana-will-soon-legalise-homosexuality-us-ambassador.html
62,http://web.archive.org/web/20190413105257/https://ghanaxtra.com/2019/04/pope-francis-kneels-to-kss-the-feet-of-rival-south-sudan-leaders.html
63,http://web.archive.org/web/20190320172358/http://ghanaxtra.com/2019/02/forget-akuapem-poloo-here-are-some-decent-sons-of-akuapeman.html
64,http://web.archive.org/web/20200503085750/https://ghanaxtra.com/2020/05/covid-19-cases-jump-to-2169-death-toll-now-18.html
65,http://web.archive.org/web/20170802195546/http://www.ghanaxtra.com/2017/07/celebrities-react-to-news-donald-trump.html
66,http://web.archive.org/web/20181123200930/http://ghanaxtra.com/2018/03/ghana-will-soon-legalise-homosexuality-us-ambassador.html
67,http://web.archive.org/web/20210411080304/https://ghanaxtra.com/2021/03/3music-awards-2021-this-is-the-full-list-of-winners.html
68,http://web.archive.org/web/20200804004454/https://ghanaxtra.com/2020/08/drunkards-association-appeal-for-introduction-of-double-track-system-in-drinking-bars.html
69,http://web.archive.org/web/20201128054921/https://ghanaxtra.com/2020/11/revealed-nana-konadu-agyemang-rawlings-not-on-admission.html
70,http://web.archive.org/web/20180331145612/https://ghanaxtra.com/2018/03/afia-schwarzenegger-trouble-wearing-police-uniform.html
71,http://web.archive.org/web/20190127074742/http://ghanaxtra.com/2019/01/u-s-taliban-talks-appear-closer-to-pact-after-marathon-talks-in-qatar.html
72,http://web.archive.org/web/20200422221142/https://ghanaxtra.com/2020/04/t-b-joshua-predicts-an-end-to-coronavirus-17139.html
73,http://web.archive.org/web/20181214162817/http://ghanaxtra.com/2018/03/mahamas-infrastructural-record-impeccable-us-ambassador.html
74,http://web.archive.org/web/20190320172358/http://ghanaxtra.com/2017/07/rapper-sarkodie-turns-29-today.html
75,http://web.archive.org/web/20220525034713/https://ghanaxtra.com/2022/04/wassce-2021-4-st-james-students-grab-waec-topmost-awards.html
76,http://web.archive.org/web/20190328010556/http://ghanaxtra.com/2019/03/they-have-slapped-a-policeman-and-you-are-speaking-big-grammar-afia-schwarzenegger-tells-police-service.html
77,http://web.archive.org/web/20211229184821/https://ghanaxtra.com/2021/12/akuapem-poloo-free-as-court-of-appeal-converts-prison-sentence-into-fine.html
78,http://web.archive.org/web/20220309070018/https://ghanaxtra.com/2021/12/kennedy-agyapong-seriously-sick-too-weak-for-cross-examination.html
79,http://web.archive.org/web/20220309070018/https://ghanaxtra.com/2021/12/victory-2024-ndc-mps-youth-ready-for-do-or-die-young-mosquito.html
80,http://web.archive.org/web/20210125211815/https://ghanaxtra.com/2021/01/us-talk-show-legend-larry-king-dies-at-87.html
81,http://web.archive.org/web/20210725003713/https://ghanaxtra.com/2021/06/2-arrested-over-death-of-fixthecountry-campaigner.html
82,http://web.archive.org/web/20181124103259/http://ghanaxtra.com/2018/02/huge-prophesy-another-ebony-will-emerge-family-ebonys-mother-predicts.html
83,http://web.archive.org/web/20220525034713/https://ghanaxtra.com/2022/03/food-vendors-attacked-by-suspected-military-men-in-bawkuphotos.html
84,http://web.archive.org/web/20211026191535/https://ghanaxtra.com/2021/10/funny-face-goes-crazy-again-uses-wo-maame-tw3-for-fada-dicksonvideo.html
85,http://web.archive.org/web/20220704040657/https://ghanaxtra.com/2022/03/correct-score-prophet-predicts-results-of-ghana-nigeria-clash.html
86,http://web.archive.org/web/20220128222150/https://ghanaxtra.com/2022/01/peter-suaka-writes-start-afresh.html
87,http://web.archive.org/web/20180331145612/https://ghanaxtra.com/2018/03/audio-shatta-wale-releases-no-mercy-cripple-song-diss-stonebwoy.html
88,http://web.archive.org/web/20220126232214/https://ghanaxtra.com/2021/12/just-in-ges-sacks-comedian-teacher-kwadwo-for-professional-misconduct.html
89,http://web.archive.org/web/20220309024027/https://ghanaxtra.com/2022/03/henry-osei-writes-on-coup-is-coup-the-alternative.html
90,http://web.archive.org/web/20190227194332/http://ghanaxtra.com/2019/02/video-pastor-miraculously-resurrects-dead-man.html
91,http://web.archive.org/web/20181225172547/http://ghanaxtra.com/2018/12/photos-ghanaian-celebrities-moms.html
92,http://web.archive.org/web/20211017151719/https://ghanaxtra.com/2021/09/leaked-document-list-of-mmdces-for-greater-accra-eastern-regions.html
93,http://web.archive.org/web/20210121185243/https://ghanaxtra.com/2021/01/exclusive-akufo-addos-nemesis-kevin-taylor-lands-in-ghana.html
94,http://web.archive.org/web/20181124103259/http://ghanaxtra.com/2017/10/why-do-ghanaian-ladies-wear-waist-beads-read-all-the-traditional-and-historical-facts-here.html
95,http://web.archive.org/web/20190125013254/http://ghanaxtra.com/2019/01/menzgolds-1-8million-depositors-is-an-exageration-kweku-baako.html
96,http://web.archive.org/web/20200503085750/https://ghanaxtra.com/2020/04/kessben-fms-atta-poku-opens-up-on-tranfer-rumours-check-full-details-here.html
97,http://web.archive.org/web/20190116064121/http://ghanaxtra.com/2018/04/brong-ahafo-abronye-kofi-ofosu-comfortable-lead-ahead-npp-regional-conference.html
98,http://web.archive.org/web/20200804004454/https://ghanaxtra.com/2020/07/npp-bono-regional-chairman-abronye-dc-attacked-at-dormaa.html
99,http://web.archive.org/web/20181226221337/http://ghanaxtra.com/2018/05/cyber-bullying-negative-impact-kids-ngo.html
100,http://web.archive.org/web/20220313025528/https://ghanaxtra.com/2021/12/kennedy-agyapong-seriously-sick-too-weak-for-cross-examination.html
101,http://web.archive.org/web/20200804004454/https://ghanaxtra.com/2020/08/working-with-rawlings-professor-ahwoi-details-how-rawlings-squeezed-bede-ziedengs-testicles.html
